Year,Period,Disease,Animal_Type,Outbreaks,Cases,Deaths,Source,Evidence,Mortality_Rate,Disease_Name
2021,2021-22,PPR,Sheep/Goat,4.0,403,37.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.09181141439205956,Peste des Petits Ruminants
2021,2021-22,HS,Sheep/Goat,2.0,6,2.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.3333333333333333,Haemorrhagic Septicaemia
2022,2022-23,HS,Cattle/Buffalo,1.0,1,1.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia
2022,2022-23,BQ,Cattle/Buffalo,1.0,5,2.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.4,Black Quarter
2022,2022-23,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,,Peste des Petits Ruminants
2022,2022-23,FMD,Cattle/Buffalo,2.0,12,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.0,Foot-and-Mouth Disease
2022,2022-23,LSD,Cattle/Buffalo,4189.0,470824,38198.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.08113010381798719,Lumpy Skin Disease
2022,2022-23,PPR,Sheep/Goat,6.0,5554,558.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.10046813107670148,Peste des Petits Ruminants
2022,2022-23,HS,Sheep/Goat,1.0,2,2.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia
2022,2022-23,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease
2023,2023-24,HS,Cattle/Buffalo,4.0,67,28.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.417910447761194,Haemorrhagic Septicaemia
2023,2023-24,BQ,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Black Quarter
2023,2023-24,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Peste des Petits Ruminants
2023,2023-24,FMD,Cattle/Buffalo,11.0,908,57.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.06277533039647577,Foot-and-Mouth Disease
2023,2023-24,LSD,Cattle/Buffalo,3173.0,150402,10811.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.07188069307588994,Lumpy Skin Disease
2023,2023-24,PPR,Sheep/Goat,2.0,11,1.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.09090909090909091,Peste des Petits Ruminants
2023,2023-24,HS,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Haemorrhagic Septicaemia
2023,2023-24,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease
