Year,Period,Disease,Animal_Type,Outbreaks,Cases,Deaths,Source,Evidence,Mortality_Rate,Disease_Name,Outbreaks_Score_Base,Cases_Score_Base,Deaths_Score_Base,Outbreak_Score,Case_Score,Death_Score,Years_Ago,Recency_Score,Trend_Score,Trend_Normalized,Risk_Score,Risk_Level
2021,2021-22,BQ,Cattle/Buffalo,1.0,4,2.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.5,Black Quarter,1.0,4,2.0,0.5,0.23529411764705882,0.2,2,0.3333333333333333,-1.0,0.0,29.88235294117647,MODERATE
2023,2023-24,HS,Cattle/Buffalo,4.0,67,28.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.417910447761194,Haemorrhagic Septicaemia,4.0,67,28.0,0.3333333333333333,0.06767676767676768,0.14358974358974358,0,1.0,-1.0,0.0,29.563714063714063,MODERATE
2017,2017-18,PPR,Sheep/Goat,9.0,1296,226.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,0.1743827160493827,Peste des Petits Ruminants,9.0,1296,226.0,0.42857142857142855,0.2333453366942744,0.4050179211469534,6,0.14285714285714285,-0.9790874524714829,0.010456273764258561,29.038554577938513,MODERATE
2018,2018-19,FMD,Cattle/Buffalo,12.0,438,22.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.0502283105022831,Foot-and-Mouth Disease,12.0,438,22.0,0.34285714285714286,0.335632183908046,0.1004566210045662,5,0.16666666666666666,0.0,0.5,28.18565130350676,MODERATE
2016,2016-17,PPR,Sheep/Goat,11.0,349,34.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.0974212034383954,Peste des Petits Ruminants,11.0,349,34.0,0.5238095238095238,0.06283759452646741,0.06093189964157706,7,0.125,-0.9790874524714829,0.010456273764258561,20.483426307921526,LOW
2020,2020-21,LSD,Bovine,,268000,,"Maharashtra Economic Survey 2022-23, §7.62.1",Official Maharashtra Economic Survey; 2.68 lakh bovines infected across 25 districts,,Lumpy Skin Disease,0.0,268000,0.0,0.0,0.5462458975684075,0.0,3,0.25,-0.43879850746268656,0.2806007462686567,20.212154901896756,LOW
2023,2023-24,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease,0.0,0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.5,20.0,LOW
2023,2023-24,PPR,Sheep/Goat,2.0,11,1.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,0.0909090909090909,Peste des Petits Ruminants,2.0,11,1.0,0.09523809523809523,0.0019805545552754773,0.0017921146953405018,0,1.0,-0.9790874524714829,0.010456273764258561,18.04706175257414,LOW
2016,2016-17,HS,Cattle/Buffalo,5.0,68,19.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.2794117647058823,Haemorrhagic Septicaemia,5.0,68,19.0,0.4166666666666667,0.06868686868686869,0.09743589743589744,7,0.125,-1.0,0.0,18.040889665889665,LOW
2015,2015-16,HS,Cattle/Buffalo,5.0,36,23.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.6388888888888888,Haemorrhagic Septicaemia,5.0,36,23.0,0.4166666666666667,0.03636363636363636,0.11794871794871795,8,0.1111111111111111,-1.0,0.0,17.434731934731936,LOW
2023,2023-24,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Peste des Petits Ruminants,0.0,0,0.0,0.0,0.0,0.0,0,1.0,-0.9790874524714829,0.010456273764258561,15.104562737642585,LOW
2023,2023-24,HS,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Haemorrhagic Septicaemia,0.0,0,0.0,0.0,0.0,0.0,0,1.0,-1.0,0.0,15.0,LOW
2023,2023-24,BQ,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2023-24, Table 28",Official Maharashtra statistical booklet,,Black Quarter,0.0,0,0.0,0.0,0.0,0.0,0,1.0,-1.0,0.0,15.0,LOW
2015,2015-16,HS,Sheep/Goat,3.0,87,34.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,0.3908045977011494,Haemorrhagic Septicaemia,3.0,87,34.0,0.25,0.08787878787878788,0.17435897435897435,8,0.1111111111111111,-1.0,0.0,14.850815850815852,LOW
2022,2022-23,FMD,Cattle/Buffalo,2.0,12,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,0.0,Foot-and-Mouth Disease,2.0,12,0.0,0.05714285714285714,0.009195402298850575,0.0,1,0.5,0.0,0.5,14.444170771756978,LOW
2021,2021-22,PPR,Sheep/Goat,4.0,403,37.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.0918114143920595,Peste des Petits Ruminants,4.0,403,37.0,0.19047619047619047,0.07256031688872884,0.06630824372759857,2,0.3333333333333333,-0.9790874524714829,0.010456273764258561,13.959021248698491,LOW
2022,2022-23,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease,0.0,0,0.0,0.0,0.0,0.0,1,0.5,0.0,0.5,12.5,LOW
2019,2019-20,HS,Cattle/Buffalo,3.0,7,7.0,"Maharashtra Statistical Booklet 2019-20, Table 24",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia,3.0,7,7.0,0.25,0.007070707070707071,0.035897435897435895,4,0.2,-1.0,0.0,11.394716394716394,LOW
2019,2019-20,FMD,Cattle/Buffalo,2.0,15,10.0,"Maharashtra Statistical Booklet 2019-20, Table 24",Official Maharashtra statistical booklet,0.6666666666666666,Foot-and-Mouth Disease,2.0,15,10.0,0.05714285714285714,0.011494252873563218,0.045662100456621,4,0.2,0.0,0.5,10.914884045257214,LOW
2021,2021-22,HS,Sheep/Goat,2.0,6,2.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.3333333333333333,Haemorrhagic Septicaemia,2.0,6,2.0,0.16666666666666666,0.006060606060606061,0.010256410256410256,2,0.3333333333333333,-1.0,0.0,10.356643356643355,LOW
2022,2022-23,HS,Sheep/Goat,1.0,2,2.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia,1.0,2,2.0,0.08333333333333333,0.00202020202020202,0.010256410256410256,1,0.5,-1.0,0.0,10.255633255633255,LOW
2022,2022-23,HS,Cattle/Buffalo,1.0,1,1.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,1.0,Haemorrhagic Septicaemia,1.0,1,1.0,0.08333333333333333,0.00101010101010101,0.005128205128205128,1,0.5,-1.0,0.0,10.127816627816626,LOW
2016,2016-17,HS,Sheep/Goat,1.0,82,32.0,"Maharashtra Statistical Booklet 2016-17, Table 31",Official Maharashtra statistical booklet,0.3902439024390244,Haemorrhagic Septicaemia,1.0,82,32.0,0.08333333333333333,0.08282828282828283,0.1641025641025641,7,0.125,-1.0,0.0,9.727758352758354,LOW
2018,2018-19,FMD,Sheep/Goat,1.0,14,12.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,0.8571428571428571,Foot-and-Mouth Disease,1.0,14,12.0,0.02857142857142857,0.010727969348659003,0.0547945205479452,5,0.16666666666666666,0.0,0.5,9.721232501818236,LOW
2021,2021-22,LSD,Cattle/Buffalo,56.0,23833,0.0,"Maharashtra Statistical Booklet 2021-22, Table 28",Official Maharashtra statistical booklet,0.0,Lumpy Skin Disease,56.0,23833,0.0,0.013368345667223681,0.0,0.0,2,0.3333333333333333,-0.43879850746268656,0.2806007462686567,8.207057832703276,LOW
2022,2022-23,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2022-23, Table 28",Official Maharashtra statistical booklet,,Peste des Petits Ruminants,0.0,0,0.0,0.0,0.0,0.0,1,0.5,-0.9790874524714829,0.010456273764258561,7.604562737642586,LOW
2017,2017-18,FMD,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease,0.0,0,0.0,0.0,0.0,0.0,6,0.14285714285714285,0.0,0.5,7.142857142857142,LOW
2017,2017-18,FMD,Sheep/Goat,0.0,0,0.0,"Maharashtra Statistical Booklet 2017-18, Table 24",Official Maharashtra statistical booklet,,Foot-and-Mouth Disease,0.0,0,0.0,0.0,0.0,0.0,6,0.14285714285714285,0.0,0.5,7.142857142857142,LOW
2015,2015-16,FMD,Cattle/Buffalo,0.0,0,0.0,Maharashtra Statistical Booklet 2015-16,Official Maharashtra statistical booklet,,Foot-and-Mouth Disease,0.0,0,0.0,0.0,0.0,0.0,8,0.1111111111111111,0.0,0.5,6.666666666666667,LOW
2019,2019-20,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2019-20, Table 24",Official Maharashtra statistical booklet,,Peste des Petits Ruminants,0.0,0,0.0,0.0,0.0,0.0,4,0.2,-0.9790874524714829,0.010456273764258561,3.1045627376425857,LOW
2018,2018-19,PPR,Cattle/Buffalo,0.0,0,0.0,"Maharashtra Statistical Booklet 2018-19, Table 24",Official Maharashtra statistical booklet,,Peste des Petits Ruminants,0.0,0,0.0,0.0,0.0,0.0,5,0.16666666666666666,-0.9790874524714829,0.010456273764258561,2.6045627376425853,LOW
